Case,Violation
001-223656.txt,1
001-160270.txt,1
001-203169.txt,1
001-209444.txt,1
001-158880.txt,1
001-140771.txt,1
001-204835.txt,1
001-182627.txt,1
001-163354.txt,1
001-206212.txt,1
001-174614.txt,1
001-170857.txt,1
001-126797.txt,1
001-138568.txt,1
001-174992.txt,1
001-213231.txt,1
001-219046.txt,1
001-203181.txt,1
001-170464.txt,1
001-208598.txt,1
001-220573.txt,1
001-209863.txt,1
001-171974.txt,1
001-203180.txt,1
001-192769.txt,1
001-144139.txt,1
001-223654.txt,1
001-168372.txt,1
001-172458.txt,1
001-205898.txt,1
001-144129.txt,1
001-142969.txt,1
001-196480.txt,1
001-150798.txt,1
001-195605.txt,1
001-211813.txt,1
001-217535.txt,1
001-203178.txt,1
001-168761.txt,1
001-208763.txt,1
001-173369.txt,1
001-203811.txt,1
001-204818.txt,1
001-152416.txt,1
001-205051.txt,1
001-150228.txt,1
001-160314.txt,1
001-219096.txt,1
001-169522.txt,1
001-206411.txt,1
001-182731.txt,1
001-147445.txt,1
001-214674.txt,1
001-186437.txt,1
001-213867.txt,1
001-216937.txt,1
001-186436.txt,1
001-191360.txt,1
001-182446.txt,1
001-157509.txt,1
001-171525.txt,1
001-180286.txt,1
001-213913.txt,1
001-211123.txt,1
001-191941.txt,1
001-152711.txt,1
001-213520.txt,1
001-208882.txt,1
001-164670.txt,1
001-201087.txt,1
001-182861.txt,1
001-218918.txt,1
001-145457.txt,1
001-200819.txt,1
001-178714.txt,1
001-164315.txt,1
001-196418.txt,1
001-162200.txt,1
001-205545.txt,1
001-213914.txt,1
001-163668.txt,1
001-157532.txt,1
001-170358.txt,1
001-218921.txt,1
001-164462.txt,1
001-185307.txt,1
001-196409.txt,1
001-209346.txt,1
001-202415.txt,1
001-181203.txt,1
001-218117.txt,1
001-180282.txt,1
001-219194.txt,1
001-186433.txt,1
001-147284.txt,1
001-209033.txt,1
001-213714.txt,1
001-201890.txt,1
001-212032.txt,1
001-222654.txt,1
001-204320.txt,1
001-147276.txt,1
001-180310.txt,1
001-181595.txt,1
001-209029.txt,1
001-177215.txt,1
001-183814.txt,1
001-169201.txt,1
001-145700.txt,1
001-151007.txt,1
001-170354.txt,1
001-122374.txt,1
001-177349.txt,1
001-164453.txt,1
001-187736.txt,1
001-192461.txt,1
001-166682.txt,1
001-177214.txt,1
001-201896.txt,1
001-188993.txt,1
001-164668.txt,1
001-203307.txt,1
001-223982.txt,1
001-170393.txt,1
001-181381.txt,1
001-202540.txt,1
001-202391.txt,1
001-202634.txt,1
001-127395.txt,1
001-167799.txt,1
001-185293.txt,1
001-170839.txt,1
001-180506.txt,1
001-204319.txt,1
001-147272.txt,1
001-166928.txt,1
001-120955.txt,1
001-146385.txt,1
001-203932.txt,1
001-147676.txt,1
001-220866.txt,1
001-141763.txt,1
001-213788.txt,1
001-170056.txt,1
001-184666.txt,1
001-208800.txt,1
001-174422.txt,1
001-204814.txt,1
001-210849.txt,1
001-184289.txt,1
001-223703.txt,1
001-149204.txt,1
001-222409.txt,1
001-142422.txt,1
001-139084.txt,1
001-164963.txt,1
001-210733.txt,1
001-212124.txt,1
001-216356.txt,1
001-210041.txt,1
001-223104.txt,1
001-139899.txt,1
001-180832.txt,1
001-216630.txt,1
001-160087.txt,1
001-211349.txt,1
001-181866.txt,1
001-203177.txt,1
001-140021.txt,1
001-147014.txt,1
001-171773.txt,1
001-178958.txt,1
001-203837.txt,1
001-177868.txt,1
001-142637.txt,1
001-211572.txt,1
001-169465.txt,1
001-157399.txt,1
001-217705.txt,1
001-188274.txt,1
001-159607.txt,1
001-155005.txt,1
001-198705.txt,1
001-191480.txt,1
001-219102.txt,1
001-179882.txt,1
001-203166.txt,1
001-174381.txt,1
001-139901.txt,1
001-182173.txt,1
001-158468.txt,1
001-142424.txt,1
001-155372.txt,1
001-181862.txt,1
001-174419.txt,1
001-192771.txt,1
001-126559.txt,1
001-153307.txt,1
001-172322.txt,1
001-203213.txt,1
001-192203.txt,1
001-186048.txt,1
001-126361.txt,1
001-139724.txt,1
001-184064.txt,1
001-216179.txt,1
001-181295.txt,1
