Case,Violation
001-210075.txt,0
001-186118.txt,0
001-126635.txt,0
001-219482.txt,0
001-158467.txt,0
001-220570.txt,0
001-186119.txt,0
001-215642.txt,0
001-155974.txt,0
001-156272.txt,0
001-211817.txt,0
001-119969.txt,0
001-186123.txt,0
001-210884.txt,0
001-147623.txt,0
001-219042.txt,0
001-187188.txt,0
001-174996.txt,0
001-160088.txt,0
001-213790.txt,0
001-192785.txt,0
001-209864.txt,0
001-181210.txt,0
001-212158.txt,0
001-210015.txt,0
001-142674.txt,0
001-139991.txt,0
001-222312.txt,0
001-183565.txt,0
001-122787.txt,0
001-153803.txt,0
001-179218.txt,0
001-174314.txt,0
001-221151.txt,0
001-157282.txt,0
001-219194.txt,0
001-182443.txt,0
001-168703.txt,0
001-150673.txt,0
001-215601.txt,0
001-160623.txt,0
001-186788.txt,0
001-200435.txt,0
001-208280.txt,0
001-200839.txt,0
001-192461.txt,0
001-164526.txt,0
001-188987.txt,0
001-158027.txt,0
001-217039.txt,0
001-170385.txt,0
001-122373.txt,0
001-159886.txt,0
001-206352.txt,0
001-177077.txt,0
001-223703.txt,0
001-157760.txt,0
001-216975.txt,0
001-139084.txt,0
001-126629.txt,0
001-210874.txt,0
001-163822.txt,0
001-161366.txt,0
001-213827.txt,0
001-140395.txt,0
001-128039.txt,0
001-186117.txt,0
001-170858.txt,0
001-138567.txt,0
001-210131.txt,0
001-211777.txt,0
001-158709.txt,0
001-181295.txt,0
